,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Zone 1 L,Zone 2 L,Zone 2 LA,Zone 2 SD,Zone 2 LV,Zone 3 L,Zone 3 SF,Zone 4 L,Zone 5 L,Zone 6 L,Zone 7 L,Zone 8 L,Zone 9 L,Zone 10 L,Zone 10 BO,Zone 11 L,Zone 11 DC,Zone 12 L,Zone 14 L,Zone 15 L,Zone 16 L,Zone 17 L,Zone 17 NJ,Zone 17 MHT,Zone 17 NYC,Zone 17 PA,Zone 18 L,Zone 19 L,Zone 20 L,Zone 21 L,Zone 22 L,Zone 23 L,Zone 24 L,Zone 25 L,
TH <25,Origins →,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,Zone,
,↓Destination,1 L,2 L,2 LA,2 SD,2 LV,3 L,3 SF,4 L,5 L,6 L,7 L,8 L,9 L,10 L,10 BO,11 L,11 DC,12 L,14 L,15 L,16 L,17 L,17 NJ,17 MHT,17 NYC,17 PA,18 L,19 L,20 L,21 L,22 L,23 L,24 L,25 L,
,Zone 7 Std,5.62,6.25,6.25,6.25,6.25,6.93,6.93,6.25,2.48,2.36,2.27,3.58,3.85,4.38,4.38,3.69,3.69,3.88,4.73,8.64,3.09,3.97,3.97,3.97,3.97,3.97,4.35,3.67,8.14,3.69,4.23,4.23,6.25,8.18,
,Zone 7 L,5.62,6.25,6.25,6.25,6.25,6.93,6.93,6.25,2.48,2.36,2.27,3.58,3.85,4.38,4.38,3.69,3.69,3.88,4.73,8.64,3.09,3.97,3.97,3.97,3.97,3.97,4.35,3.67,8.14,3.69,4.23,4.23,6.25,8.18,
,Zone 8 Std,4.21,4.83,4.83,4.83,4.83,5.41,5.41,4.83,3.38,3.71,3.58,2.27,3.04,3.72,3.72,3.09,3.09,3.04,3.48,7.16,2.56,3.33,3.33,3.33,3.33,3.33,3.69,2.93,6.62,2.66,3.04,3.04,4.83,6.66,
,Zone 8 L,4.21,4.83,4.83,4.83,4.83,5.41,5.41,4.83,3.38,3.71,3.58,2.27,3.04,3.72,3.72,3.09,3.09,3.04,3.48,7.16,2.56,3.33,3.33,3.33,3.33,3.33,3.69,2.93,6.62,2.66,3.04,3.04,4.83,6.66,
,Zone 9 Std,4.36,3.80,3.80,3.80,3.80,4.40,4.40,4.07,3.65,3.99,3.85,3.04,2.27,4.00,4.00,3.33,3.33,3.04,3.18,6.04,2.76,3.55,3.55,3.55,3.55,3.55,3.97,2.93,5.54,2.94,3.34,3.34,5.07,5.57,
,Zone 9 L,4.36,3.80,3.80,3.80,3.80,4.40,4.40,4.07,3.65,3.99,3.85,3.04,2.27,4.00,4.00,3.33,3.33,3.04,3.18,6.04,2.76,3.55,3.55,3.55,3.55,3.55,3.97,2.93,5.54,2.94,3.34,3.34,5.07,5.57,
,Zone 10 Std,5.79,6.11,6.11,6.11,6.11,6.81,6.81,6.11,4.25,4.52,4.38,3.72,4.00,2.27,2.27,2.94,2.94,4.02,4.86,8.53,3.24,2.66,2.66,2.66,2.66,2.66,2.78,3.55,8.00,3.85,4.41,4.41,6.11,8.03,
,Zone 10 L,5.79,6.11,6.11,6.11,6.11,6.81,6.81,6.11,4.25,4.52,4.38,3.72,4.00,2.27,2.27,2.94,2.94,4.02,4.86,8.53,3.24,2.66,2.66,2.66,2.66,2.66,2.78,3.55,8.00,3.85,4.41,4.41,6.11,8.03,
,Zone 10 BO Std,5.79,6.11,6.11,6.11,6.11,6.81,6.81,6.11,4.25,4.52,4.38,3.72,4.00,2.27,2.27,2.94,2.94,4.02,4.86,8.53,3.24,2.66,2.26,2.66,2.66,2.66,2.78,3.55,8.00,3.85,4.41,4.41,6.11,8.03,
,Zone 10 BO,5.79,6.11,6.11,6.11,6.11,6.81,6.81,6.11,4.25,4.52,4.38,3.72,4.00,2.27,2.27,2.94,2.94,4.02,4.86,8.53,3.24,2.66,2.26,2.66,2.66,2.66,2.78,3.55,8.00,3.85,4.41,4.41,6.11,8.03,
,Zone 11 Std,4.95,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.48,3.83,3.69,3.09,3.33,2.94,2.94,2.27,2.27,3.34,4.20,7.83,2.66,2.56,2.56,2.56,2.56,2.56,2.93,3.17,7.31,3.18,3.62,3.62,5.41,7.36,
,Zone 11 L,4.95,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.48,3.83,3.69,3.09,3.33,2.94,2.94,2.27,2.27,3.34,4.20,7.83,2.66,2.56,2.56,2.56,2.56,2.56,2.93,3.17,7.31,3.18,3.62,3.62,5.41,7.36,
,Zone 11 DC Std,4.95,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.48,3.83,3.69,3.09,3.33,2.94,2.94,2.27,2.27,3.34,4.20,7.83,2.66,2.56,2.12,2.56,2.56,2.56,2.93,3.17,7.31,3.18,3.62,3.62,5.41,7.36,
,Zone 11 DC,4.95,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.48,3.83,3.69,3.09,3.33,2.94,2.94,2.27,2.27,3.34,4.20,7.83,2.66,2.56,2.12,2.56,2.56,2.56,2.93,3.17,7.31,3.18,3.62,3.62,5.41,7.36,
,Zone 12 Std,5.15,4.74,4.74,4.74,4.74,5.37,5.37,4.74,3.67,4.01,3.88,3.04,3.04,4.02,4.02,3.34,3.34,2.27,4.36,7.07,2.78,3.33,3.33,3.33,3.33,3.33,3.69,2.56,6.55,3.17,3.97,3.97,5.07,6.59,
,Zone 12 L,5.15,4.74,4.74,4.74,4.74,5.37,5.37,4.74,3.67,4.01,3.88,3.04,3.04,4.02,4.02,3.34,3.34,2.27,4.36,7.07,2.78,3.33,3.33,3.33,3.33,3.33,3.69,2.56,6.55,3.17,3.97,3.97,5.07,6.59,
,Zone 13 Std,4.86,4.40,4.40,4.40,4.40,4.88,4.88,4.65,4.15,4.43,4.39,3.57,2.99,4.44,4.44,3.85,3.85,3.57,3.72,6.64,3.26,4.07,4.07,4.07,4.07,4.07,4.42,3.40,6.12,3.41,3.86,3.86,5.66,6.15,
,Zone 14 Std,4.36,3.80,3.80,3.80,3.80,4.40,4.40,3.80,4.52,4.85,4.73,3.48,3.18,4.86,4.86,4.20,4.20,4.53,2.27,6.04,3.48,4.38,4.38,4.38,4.38,4.38,4.83,4.15,5.54,3.48,3.48,3.48,4.28,5.57,
,Zone 14 L,4.36,3.80,3.80,3.80,3.80,4.40,4.40,3.80,4.52,4.85,4.73,3.48,3.18,4.86,4.86,4.20,4.20,4.53,2.27,6.04,3.48,4.38,4.38,4.38,4.38,4.38,4.83,4.15,5.54,3.48,3.48,3.48,4.28,5.57,
,Zone 15 Std,4.34,3.76,3.76,3.76,3.76,3.76,3.76,3.76,6.04,6.40,6.24,4.92,5.39,6.40,6.40,5.64,5.64,6.07,5.39,2.27,4.92,5.91,5.91,5.91,5.91,5.91,6.39,5.60,3.29,5.64,5.20,5.20,3.76,2.99,
,Zone 15 L,4.34,3.76,3.76,3.76,3.76,3.76,3.76,3.76,6.04,6.40,6.24,4.92,5.39,6.40,6.40,5.64,5.64,6.07,5.39,2.27,4.92,5.91,5.91,5.91,5.91,5.91,6.39,5.60,3.29,5.64,5.20,5.20,3.76,2.99,
,Zone 16 Std,4.21,4.83,4.83,4.83,4.83,5.41,5.41,4.21,2.94,3.22,3.09,2.56,2.76,3.24,3.24,2.66,2.66,2.78,3.48,7.16,2.27,2.87,2.87,2.87,2.87,2.87,3.18,2.62,6.62,2.66,3.04,3.04,4.83,6.66,
,Zone 16 L,4.21,4.83,4.83,4.83,4.83,5.41,5.41,4.21,2.94,3.22,3.09,2.56,2.76,3.24,3.24,2.66,2.66,2.78,3.48,7.16,2.27,2.87,2.87,2.87,2.87,2.87,3.18,2.62,6.62,2.66,3.04,3.04,4.83,6.66,
,Zone 17 Std,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,2.27,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 L,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,2.27,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 NJ Std,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,2.21,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 NJ,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,1.34,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 MHT Std,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,1.46,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 MHT,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,1.46,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 NYC Std,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,1.34,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 NYC,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,1.34,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 PA Std,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,1.34,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 17 PA,5.25,5.41,5.41,5.41,5.41,6.11,6.11,5.41,3.77,4.12,3.97,3.33,3.55,2.66,2.66,2.56,2.56,3.52,4.38,7.83,2.87,2.27,1.34,2.27,2.27,2.27,2.42,3.15,7.31,3.41,3.89,3.89,5.41,7.36,
,Zone 18 Std,5.79,5.94,5.94,5.94,5.94,6.62,6.62,5.94,4.25,4.52,4.38,3.72,4.00,2.78,2.78,2.94,2.94,3.92,4.86,8.34,3.24,2.42,2.42,2.42,2.42,2.42,2.27,3.52,7.83,3.82,4.36,4.36,5.94,7.87,
,Zone 18 L,5.79,5.94,5.94,5.94,5.94,6.62,6.62,5.94,4.25,4.52,4.38,3.72,4.00,2.78,2.78,2.94,2.94,3.92,4.86,8.34,3.24,2.42,2.42,2.42,2.42,2.42,2.27,3.52,7.83,3.82,4.36,4.36,5.94,7.87,
,Zone 19 Std,4.93,4.74,4.74,4.74,4.74,5.37,5.37,4.74,3.46,3.81,3.67,2.93,2.93,3.55,3.55,3.17,3.17,2.42,4.15,7.07,2.62,3.15,3.15,3.15,3.15,3.15,3.52,2.27,6.55,2.93,3.61,3.61,4.74,6.59,
,Zone 19 L,4.93,4.74,4.74,4.74,4.74,5.37,5.37,4.74,3.46,3.81,3.67,2.93,2.93,3.55,3.55,3.17,3.17,2.42,4.15,7.07,2.62,3.15,3.15,3.15,3.15,3.15,3.52,2.27,6.55,2.93,3.61,3.61,4.74,6.59,
,Zone 20 Std,3.88,3.38,3.38,3.38,3.38,3.38,3.38,4.76,6.04,6.40,6.24,4.92,4.94,6.40,6.40,5.64,5.64,6.07,4.94,3.29,4.92,5.91,5.91,5.91,5.91,5.91,6.39,5.60,2.27,5.64,4.76,4.76,4.51,2.56,
,Zone 20 L,3.88,3.38,3.38,3.38,3.38,3.38,3.38,4.76,6.04,6.40,6.24,4.92,4.94,6.40,6.40,5.64,5.64,6.07,4.94,3.29,4.92,5.91,5.91,5.91,5.91,5.91,6.39,5.60,2.27,5.64,4.76,4.76,4.51,2.56,
,Zone 21 Std,4.95,4.83,4.83,4.83,4.83,5.41,5.41,4.83,3.48,3.83,3.69,2.66,2.94,3.85,3.85,3.18,3.18,3.25,3.48,7.16,2.66,3.41,3.41,3.41,3.41,3.41,3.82,2.93,6.62,2.27,3.62,3.62,5.41,6.66,
,Zone 21 L,4.95,4.83,4.83,4.83,4.83,5.41,5.41,4.83,3.48,3.83,3.69,2.66,2.94,3.85,3.85,3.18,3.18,3.25,3.48,7.16,2.66,3.41,3.41,3.41,3.41,3.41,3.82,2.93,6.62,2.27,3.62,3.62,5.41,6.66,
,Zone 22 Std,3.91,3.64,3.64,3.64,3.64,4.21,4.21,3.64,4.02,4.39,4.23,3.04,3.34,4.41,4.41,3.62,3.62,4.06,3.48,5.83,3.04,3.89,3.89,3.89,3.89,3.89,4.36,3.61,5.34,3.62,2.27,2.31,4.21,5.37,
,Zone 22 L,3.91,3.64,3.64,3.64,3.64,4.21,4.21,3.64,4.02,4.39,4.23,3.04,3.34,4.41,4.41,3.62,3.62,4.06,3.48,5.83,3.04,3.89,3.89,3.89,3.89,3.89,4.36,3.61,5.34,3.62,2.27,2.31,4.21,5.37,
,Zone 23 Std,3.91,3.64,3.64,3.64,3.64,4.21,4.21,3.64,4.02,4.39,4.23,3.04,3.34,4.41,4.41,3.62,3.62,4.06,3.48,5.83,3.04,3.89,3.89,3.89,3.89,3.89,4.36,3.61,5.34,3.62,2.31,2.27,4.21,5.37,
,Zone 23 L,3.91,3.64,3.64,3.64,3.64,4.21,4.21,3.64,4.02,4.39,4.23,3.04,3.34,4.41,4.41,3.62,3.62,4.06,3.48,5.83,3.04,3.89,3.89,3.89,3.89,3.89,4.36,3.61,5.34,3.62,2.31,2.27,4.21,5.37,
,Zone 24 Std,3.29,3.04,3.04,3.04,3.04,3.55,3.55,3.04,4.82,5.15,5.02,3.76,4.53,5.17,5.17,4.42,4.42,4.83,3.82,3.76,3.76,4.69,4.69,4.69,4.69,4.69,5.14,4.38,4.51,4.42,3.76,3.76,2.27,4.53,
,Zone 24 L,3.29,3.04,3.04,3.04,3.04,3.55,3.55,3.04,4.82,5.15,5.02,3.76,4.53,5.17,5.17,4.42,4.42,4.83,3.82,3.76,3.76,4.69,4.69,4.69,4.69,4.69,5.14,4.38,4.51,4.42,3.76,3.76,2.27,4.53,
,Zone 25 Std,3.89,3.39,3.39,3.39,3.39,3.39,3.39,4.78,6.04,6.40,6.24,4.92,4.96,6.40,6.40,5.64,5.64,6.07,4.96,2.99,4.92,5.91,5.91,5.91,5.91,5.91,6.39,5.60,2.56,5.64,4.78,4.78,4.53,2.27,
,Zone 25 L,3.89,3.39,3.39,3.39,3.39,3.39,3.39,4.78,6.04,6.40,6.24,4.92,4.96,6.40,6.40,5.64,5.64,6.07,4.96,2.99,4.92,5.91,5.91,5.91,5.91,5.91,6.39,5.60,2.56,5.64,4.78,4.78,4.53,2.27,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
