ZIPCode,StateName,
55925,Minnesota,
55926,Minnesota,
55927,Minnesota,
55929,Minnesota,
55931,Minnesota,
55932,Minnesota,
55933,Minnesota,
55934,Minnesota,
55935,Minnesota,
55936,Minnesota,
55939,Minnesota,
55940,Minnesota,
55941,Minnesota,
55942,Minnesota,
55943,Minnesota,
55944,Minnesota,
55945,Minnesota,
55946,Minnesota,
55947,Minnesota,
55949,Minnesota,
55950,Minnesota,
55951,Minnesota,
55952,Minnesota,
55953,Minnesota,
55954,Minnesota,
55955,Minnesota,
55956,Minnesota,
55957,Minnesota,
55959,Minnesota,
55960,Minnesota,
55961,Minnesota,
55962,Minnesota,
55963,Minnesota,
55964,Minnesota,
55965,Minnesota,
55967,Minnesota,
55968,Minnesota,
55969,Minnesota,
55970,Minnesota,
55971,Minnesota,
55972,Minnesota,
55973,Minnesota,
55974,Minnesota,
55975,Minnesota,
55976,Minnesota,
55977,Minnesota,
55979,Minnesota,
55981,Minnesota,
55982,Minnesota,
55983,Minnesota,
55985,Minnesota,
55987,Minnesota,
55988,Minnesota,
55990,Minnesota,
55991,Minnesota,
55992,Minnesota,
56001,Minnesota,
56002,Minnesota,
56003,Minnesota,
56007,Minnesota,
56009,Minnesota,
56010,Minnesota,
56011,Minnesota,
56013,Minnesota,
56014,Minnesota,
56016,Minnesota,
56017,Minnesota,
56019,Minnesota,
56020,Minnesota,
56021,Minnesota,
56022,Minnesota,
56023,Minnesota,
56024,Minnesota,
56025,Minnesota,
56026,Minnesota,
56027,Minnesota,
56028,Minnesota,
56029,Minnesota,
56030,Minnesota,
56031,Minnesota,
56032,Minnesota,
56033,Minnesota,
56034,Minnesota,
56035,Minnesota,
56036,Minnesota,
56037,Minnesota,
56039,Minnesota,
56041,Minnesota,
56042,Minnesota,
56043,Minnesota,
56044,Minnesota,
56045,Minnesota,
56046,Minnesota,
56047,Minnesota,
56048,Minnesota,
56050,Minnesota,
56051,Minnesota,
56052,Minnesota,
56054,Minnesota,
56055,Minnesota,
56056,Minnesota,
56057,Minnesota,
56058,Minnesota,
56060,Minnesota,
56062,Minnesota,
56063,Minnesota,
56065,Minnesota,
56068,Minnesota,
56069,Minnesota,
56071,Minnesota,
56072,Minnesota,
56073,Minnesota,
56074,Minnesota,
56075,Minnesota,
56078,Minnesota,
56080,Minnesota,
56081,Minnesota,
56082,Minnesota,
56083,Minnesota,
56084,Minnesota,
56085,Minnesota,
56087,Minnesota,
56088,Minnesota,
56089,Minnesota,
56090,Minnesota,
56091,Minnesota,
56093,Minnesota,
56096,Minnesota,
56097,Minnesota,
56098,Minnesota,
56101,Minnesota,
56111,Minnesota,
56118,Minnesota,
56120,Minnesota,
56121,Minnesota,
56125,Minnesota,
56127,Minnesota,
56137,Minnesota,
56143,Minnesota,
56145,Minnesota,
56152,Minnesota,
56159,Minnesota,
56160,Minnesota,
56162,Minnesota,
56166,Minnesota,
56171,Minnesota,
56174,Minnesota,
56176,Minnesota,
56180,Minnesota,
56181,Minnesota,
56183,Minnesota,
56201,Minnesota,
56209,Minnesota,
56214,Minnesota,
56215,Minnesota,
56216,Minnesota,
56222,Minnesota,
56224,Minnesota,
56226,Minnesota,
56228,Minnesota,
56229,Minnesota,
56230,Minnesota,
56231,Minnesota,
56237,Minnesota,
56241,Minnesota,
56243,Minnesota,
56245,Minnesota,
56251,Minnesota,
56252,Minnesota,
56253,Minnesota,
56255,Minnesota,
56258,Minnesota,
56260,Minnesota,
56263,Minnesota,
56265,Minnesota,
56266,Minnesota,
56270,Minnesota,
56271,Minnesota,
56273,Minnesota,
56277,Minnesota,
56279,Minnesota,
56281,Minnesota,
56282,Minnesota,
